Biosample name	Original biosample indices	Altius Biosample IDs
NT2_D1	[171, 172]	['DS14564', 'DS14575']
BE2_C	[173, 174]	['DS14625', 'DS14635']
LNCap	[176, 177]	['DS14680', 'DS14684']
hTR	[178]	['DS14702']
H7_hESC_T2	[182]	['DS14732']
HAc	[184, 185]	['DS14765', 'DS14770']
HAsp	[186, 187]	['DS14790', 'DS14794']
HBVP	[192]	['DS14834']
HBVSMC	[193, 194]	['DS14845', 'DS14860']
HFF_MyC	[195, 196]	['DS15073', 'DS15079']
HFF	[197, 198]	['DS15115', 'DS15119']
iPS_19_7	[200]	['DS15148']
iPS_6_9	[201]	['DS15164']
iPS_4_7	[202]	['DS15169']
HAh	[203, 204]	['DS15192', 'DS15202']
HSMM_D	[209, 210]	['DS15538', 'DS15542']
fLung_R	[212, 234, 242, 258, 266, 308, 325, 336, 363, 377, 513]	['DS15632', 'DS16566', 'DS16790', 'DS17101', 'DS17162', 'DS17670', 'DS17831', 'DS17954', 'DS18418', 'DS18492', 'DS21328']
fLung_L	[213, 235, 259, 264, 292, 309, 312, 326, 337, 348, 364, 376, 514]	['DS15637', 'DS16570', 'DS17105', 'DS17154', 'DS17464', 'DS17674', 'DS17739', 'DS17835', 'DS17959', 'DS18170', 'DS18421', 'DS18487', 'DS21334']
fKidney_R	[215, 227, 243, 262, 371, 486, 515, 516, 517]	['DS15651', 'DS16441', 'DS16801', 'DS17144', 'DS18463', 'DS20951', 'DS20917', 'DS21340', 'DS21044']
H7_hESC_T9	[217]	['DS15809']
CD4	[219, 252, 268, 279, 334, 528]	['DS15947', 'DS16955', 'DS17175', 'DS17329', 'DS17881', 'DS17212']
fIntestine_Lg	[221, 224, 233, 257, 265, 276, 284, 291, 305, 314, 320, 327, 339, 378]	['DS16027', 'DS16164', 'DS16563', 'DS17094', 'DS17157', 'DS17313', 'DS17422', 'DS17462', 'DS17647', 'DS17748', 'DS17785', 'DS17841', 'DS17990', 'DS18499']
CD56	[226, 270]	['DS16376', 'DS17189']
fKidney_L	[228, 236, 244, 261, 372, 519, 520, 521, 572]	['DS16446', 'DS16579', 'DS16805', 'DS17140', 'DS18466', 'DS20920', 'DS21344', 'DS20953', 'DS21928A']
fThymus	[229, 250, 331, 332, 360, 459, 460, 502]	['DS16490', 'DS16841', 'DS17875', 'DS17876', 'DS18382', 'DS20335', 'DS20341', 'DS19675']
fStomach	[231, 267, 306, 333, 338, 362, 392, 462, 473, 503, 504, 505, 586]	['DS16530', 'DS17172', 'DS17659', 'DS17878', 'DS17963', 'DS18389', 'DS18821', 'DS20349', 'DS20546', 'DS20791', 'DS20079', 'DS19933', 'DS24733A']
fIntestine_Sm	[232, 241, 247, 254, 256, 263, 277, 304, 318, 322, 328]	['DS16559', 'DS16712', 'DS16822', 'DS16975', 'DS17092', 'DS17150', 'DS17317', 'DS17643', 'DS17763', 'DS17808', 'DS17844']
HS5	[238]	['DS16597']
HS27a	[239]	['DS16602']
CD3	[248, 271, 294, 311]	['DS16834', 'DS17198', 'DS17534', 'DS17702']
CD8	[253, 272, 280, 527]	['DS16962', 'DS17203', 'DS17332', 'DS17885']
CD19	[269, 274, 287]	['DS17186', 'DS17281', 'DS17440']
CD14	[273, 283, 335, 344]	['DS17215', 'DS17391', 'DS17889', 'DS18065']
fKidney_renal_cortex	[275, 282, 290, 316, 321, 365, 422, 445, 447, 476, 518]	['DS17307', 'DS17387', 'DS17455', 'DS17756', 'DS17804', 'DS18428', 'DS19388', 'DS20018', 'DS20024', 'DS20568', 'DS20445']
fKidney_renal_pelvis	[281, 289, 317, 347, 366, 421, 446, 448, 464, 477]	['DS17381', 'DS17451', 'DS17760', 'DS18088', 'DS18431', 'DS19386', 'DS20022', 'DS20027', 'DS20448', 'DS20570']
fMuscle_leg	[285, 361, 370, 374, 394, 405, 414, 416, 426, 432, 455, 483, 512]	['DS17429', 'DS18386', 'DS18456', 'DS18471', 'DS18844', 'DS19115', 'DS19272', 'DS19291', 'DS19436', 'DS19643', 'DS20239', 'DS20797', 'DS19382']
fMuscle_arm	[286, 323, 329, 345, 350, 359, 368, 375, 381, 402, 403, 404, 413, 417, 419, 433, 511]	['DS17432', 'DS17825', 'DS17848', 'DS18080', 'DS18176', 'DS18379', 'DS18452', 'DS18473', 'DS18559', 'DS18992', 'DS19051', 'DS19053', 'DS19270', 'DS19295', 'DS19380', 'DS19646', 'DS19439']
fSpleen	[288]	['DS17448']
CD20	[295, 351]	['DS17541', 'DS18208']
fKidney_renal_cortex_R	[296, 395, 411]	['DS17545', 'DS18928', 'DS19254']
fKidney_renal_pelvis_R	[297, 385, 398, 409]	['DS17548', 'DS18663', 'DS18961', 'DS19235']
